wkt,Latitudes,Longitudes
"POLYGON ((-118.4503561140682 33.77656094206829, -118.54018764248019 33.77656094206829, -118.4503561140682 33.7020803924213, -118.54018764248019 33.7020803924213, -118.4503561140682 33.77656094206829))",-118.4952718782742,33.7393206672448
"POLYGON ((-118.4503561140682 33.81380121689179, -118.54018764248019 33.81380121689179, -118.4503561140682 33.7393206672448, -118.54018764248019 33.7393206672448, -118.4503561140682 33.81380121689179))",-118.4952718782742,33.77656094206829
"POLYGON ((-118.4503561140682 33.851041491715286, -118.54018764248019 33.851041491715286, -118.4503561140682 33.77656094206829, -118.54018764248019 33.77656094206829, -118.4503561140682 33.851041491715286))",-118.4952718782742,33.81380121689179
"POLYGON ((-118.4503561140682 33.88828176653878, -118.54018764248019 33.88828176653878, -118.4503561140682 33.81380121689179, -118.54018764248019 33.81380121689179, -118.4503561140682 33.88828176653878))",-118.4952718782742,33.851041491715286
"POLYGON ((-118.4503561140682 33.92552204136228, -118.54018764248019 33.92552204136228, -118.4503561140682 33.851041491715286, -118.54018764248019 33.851041491715286, -118.4503561140682 33.92552204136228))",-118.4952718782742,33.88828176653878
"POLYGON ((-118.4503561140682 33.962762316185774, -118.54018764248019 33.962762316185774, -118.4503561140682 33.88828176653878, -118.54018764248019 33.88828176653878, -118.4503561140682 33.962762316185774))",-118.4952718782742,33.92552204136228
"POLYGON ((-118.4503561140682 34.00000259100927, -118.54018764248019 34.00000259100927, -118.4503561140682 33.92552204136228, -118.54018764248019 33.92552204136228, -118.4503561140682 34.00000259100927))",-118.4952718782742,33.962762316185774
"POLYGON ((-118.4503561140682 34.037242865832766, -118.54018764248019 34.037242865832766, -118.4503561140682 33.962762316185774, -118.54018764248019 33.962762316185774, -118.4503561140682 34.037242865832766))",-118.4952718782742,34.00000259100927
"POLYGON ((-118.4503561140682 34.07448314065626, -118.54018764248019 34.07448314065626, -118.4503561140682 34.00000259100927, -118.54018764248019 34.00000259100927, -118.4503561140682 34.07448314065626))",-118.4952718782742,34.037242865832766
"POLYGON ((-118.4503561140682 34.11172341547976, -118.54018764248019 34.11172341547976, -118.4503561140682 34.037242865832766, -118.54018764248019 34.037242865832766, -118.4503561140682 34.11172341547976))",-118.4952718782742,34.07448314065626
